track_id,track,artist
2IHaGyfxNoFPLJnaEg4GTs,"What Is Love - 7"" Mix",['Haddaway']
6pb5BBnIM5IM7R1cqag6rE,Big Me,['Foo Fighters']
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,['Red Hot Chili Peppers']
4ZtqsOdBbS6GoedzzRGSo9,Breathe,['The Prodigy']
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,['Red Hot Chili Peppers']
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,['The All-American Rejects']
1ofhfV90EnYhEr7Un2fWiv,Changes,"['2Pac', 'Talent']"
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,['U2']
3v1dCP3hk2djfWryqfp7sx,Caminando por la vida,['Melendi']
29699gQVPOc6cLocZJMsRT,Adolescentes,"['Kiko y Shara', 'Shara']"
2mOcoUaBhqKmnpBxTptCMl,Appreciate It,['2Baba']
6l8GvAyoUZwWDgF1e4822w,Bohemian Rhapsody,['Queen']
5egqKwgK5r5rvGD1LrtR7J,Points of Authority,['Linkin Park']
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,['Bon Jovi']
0u2CGItUO2jYEiFaXD7n5S,Wishing on a Star,['Rose Royce']
